b1_g1_mean	b1_g2_mean	b2_g1_mean	b2_g2_mean	b1_mean	b2_mean	g1_mean	g2_mean	b1_groups_fc	b2_groups_fc	batch_fc	group_fc
gene_4355	5.5464329717714	5.52801323874837	7.18985124191882	7.18376284992654	5.53722310525989	7.18680704592268	6.36814210684511	6.35588804433746	-0.0184197330230278	-0.00608839199227695	1.64958394066279	-0.0122540625076528
gene_89961	5.78671742908733	5.89003550464125	7.55789445274385	7.57520356809831	5.83837646686429	7.56654901042108	6.67230594091559	6.73261953636978	0.103318075553914	0.0173091153544629	1.72817254355679	0.060313595454188
gene_28792	6.08115683361158	5.94757545833886	7.53870197203968	7.52523400515269	6.01436614597522	7.53196798859619	6.80992940282563	6.73640473174578	-0.133581375272717	-0.0134679668869886	1.51760184262097	-0.0735246710798529
gene_102800	8.15210498262545	6.55544344711121	10.7203108922599	8.70200104013183	7.35377421486833	9.71115596619589	9.4362079374427	7.62872224362152	-1.59666153551424	-2.01830985212811	2.35738175132756	-1.80748569382118
gene_101646	6.30096925458317	7.67742698693198	8.07062562596187	10.2522268971941	6.98919812075757	9.16142626157798	7.18579744027252	8.96482694206304	1.37645773234882	2.18160127123223	2.17222814082041	1.77902950179052
gene_25112	5.88313883401143	6.06668029165519	7.88006962397122	8.00035578593799	5.97490956283331	7.94021270495461	6.88160422899132	7.03351803879659	0.183541457643766	0.120286161966765	1.9653031421213	0.151913809805265
gene_109252	6.27372271811033	7.84414496643158	7.82013729160053	10.0450825854179	7.05893384227096	8.93260993850922	7.04693000485543	8.94461377592475	1.57042224832125	2.22494529381739	1.87367609623827	1.89768377106932
gene_3190	6.71034321796991	6.66607196320294	8.12272768223724	8.30425394203217	6.68820759058642	8.2134908121347	7.41653545010357	7.48516295261755	-0.0442712547669668	0.18152625979493	1.52528322154828	0.0686275025139818
gene_40369	5.92839382337982	6.16609917960606	7.55063952126874	7.43990074805438	6.04724650149294	7.49527013466156	6.73951667232428	6.80299996383022	0.237705356226242	-0.110738773214363	1.44802363316862	0.06348329150594
gene_66397	6.78222097863678	6.95306240364485	8.18123003887711	8.13873977156511	6.86764169114081	8.15998490522111	7.48172550875694	7.54590108760498	0.170841425008073	-0.0424902673119956	1.2923432140803	0.0641755788480385
gene_10838	8.46624607674568	6.75736712271561	10.449277426448	8.30415133103923	7.61180659973065	9.37671437874359	9.45776175159681	7.53075922687742	-1.70887895403006	-2.14512609540872	1.76490777901295	-1.92700252471939
gene_109680	6.90997552058572	6.7933874931544	8.30009320399002	8.20096776052622	6.85168150687006	8.25053048225812	7.60503436228787	7.49717762684031	-0.116588027431319	-0.0991254434638034	1.39884897538806	-0.107856735447561
gene_100570	6.74292271111546	6.73951799835045	5.04038588146843	4.97847118425205	6.74122035473296	5.00942853286024	5.89165429629194	5.85899459130125	-0.00340471276501741	-0.0619146972163707	-1.73179182187272	-0.032659704990694
gene_77731	6.05604043312837	6.25616492206339	7.91642723209669	8.08601999019777	6.15610267759588	8.00122361114723	6.98623383261253	7.17109245613058	0.20012448893502	0.169592758101076	1.84512093355135	0.184858623518048
gene_21815	6.93189563910137	7.00902385560509	8.76865783487538	8.73202988916858	6.97045974735323	8.75034386202198	7.85027673698837	7.87052687238684	0.0771282165037244	-0.0366279457067975	1.77988411466875	0.020250135398463
gene_71404	7.16544286434457	7.18048887123469	8.96579434013488	9.1713601441646	7.17296586778963	9.06857724214974	8.06561860223973	8.17592450769965	0.0150460068901248	0.205565804029723	1.89561137436011	0.110305905459922
gene_11887	7.24971022655875	7.27745499868042	9.06560316238263	9.05954269491344	7.26358261261959	9.06257292864804	8.15765669447069	8.16849884679693	0.0277447721216735	-0.00606046746918842	1.79899031602845	0.0108421523262425
gene_9597	8.73866294722633	7.285669291382	10.9881476870833	9.17701478580913	8.01216611930417	10.0825812364462	9.86340531715482	8.23134203859557	-1.45299365584433	-1.81113290127417	2.07041511714205	-1.63206327855925
gene_103843	7.18321096530887	7.28282255993821	8.98309327609465	9.09598531575132	7.23301676262354	9.03953929592299	8.08315212070176	8.18940393784477	0.099611594629347	0.112892039656668	1.80652253329945	0.106251817143008
gene_47756	8.68826886190307	7.30216464526025	10.3299704341666	8.2755296025631	7.99521675358166	9.30275001836485	9.50911964803483	7.78884712391168	-1.38610421664282	-2.05444083160349	1.30753326478318	-1.72027252412315
gene_21174	7.22806115821574	7.21110981164347	9.18221140683922	9.18205660188882	7.2195854849296	9.18213400436402	8.20513628252748	8.19658320676614	-0.0169513465722684	-0.000154804950399878	1.96254851943441	-0.00855307576133413
gene_48154	7.26571709089363	7.27057721890366	8.89563413204941	8.93041627683149	7.26814715489864	8.91302520444045	8.08067561147152	8.10049674786757	0.00486012801003177	0.0347821447820831	1.6448780495418	0.0198211363960574
gene_104591	7.39997992816834	7.39487079412857	9.24511711827434	9.48242899495669	7.39742536114845	9.36377305661551	8.32254852322134	8.43864989454263	-0.00510913403976421	0.23731187668235	1.96634769546706	0.116101371321292
gene_17731	7.2808096700291	7.35064081966234	9.06702669450983	9.03737131493144	7.31572524484572	9.05219900472064	8.17391818226947	8.19400606729689	0.069831149633246	-0.0296553795783883	1.73647375987492	0.0200878850274275
gene_36031	8.72188188429702	7.25389716926385	10.8328344576285	9.13088531971967	7.98788952678043	9.98185988867406	9.77735817096274	8.19239124449176	-1.46798471503317	-1.70194913790879	1.99397036189363	-1.58496692647098
gene_102080	7.35169114407639	7.35306053154555	8.77773838452286	8.88151290431272	7.35237583781097	8.82962564441779	8.06471476429962	8.11728671792913	0.00136938746916648	0.103774519789861	1.47724980660682	0.0525719536295135
gene_26415	8.81918588028899	7.46525537200363	10.9519793402345	9.15545199907345	8.14222062614631	10.053715669654	9.88558261026176	8.31035368553854	-1.35393050828536	-1.79652734116109	1.91149504350768	-1.57522892472322
