x
1	7681
2	3802
3	4690
4	9186
5	7740
6	1024
7	9553
8	5471
9	4447
10	5260
11	5574
12	8985
13	3166
14	2352
15	3235
16	6556
17	8602
18	9391
19	7234
20	9375
21	410
22	9503
23	2684
24	2403
25	1986
26	6177
27	3106
28	1386
29	9338
30	1627
31	7570
32	6242
33	5841
34	8153
35	8457
36	8907
37	108
38	1691
39	6669
40	9194
41	3190
42	1420
43	5535
44	5561
45	9442
46	1928
47	3645
48	9847
49	3927
50	758
51	1261
52	8508
53	949
54	3563
55	1653
56	2178
57	6954
58	8891
59	4962
60	5920
61	1922
62	725
63	3012
64	7557
65	2737
66	1001
67	5412
68	2343
69	4251
70	5217
71	6886
72	6807
73	3074
74	3425
75	7225
76	1489
77	9263
78	3609
79	2595
80	3506
81	2846
82	4204
83	7250
84	1140
85	4773
86	2268
87	3165
88	5433
89	8528
90	3130
91	6339
92	7312
93	1403
94	3773
95	5159
96	499
97	3725
98	2592
99	3261
100	1472
101	9741
102	1476
103	8007
104	3238
105	5381
106	9692
107	931
108	735
109	5722
110	3447
111	2412
112	8648
113	1651
114	8178
115	4149
116	6222
117	5283
118	8310
119	978
120	5364
121	2451
122	6641
123	9065
124	3569
125	6169
126	7507
127	3065
128	9642
129	3234
130	3478
131	7264
132	6584
133	3990
134	9676
135	2005
136	9267
137	5013
138	1148
139	3957
140	7637
141	8980
142	2520
143	1805
144	3513
145	412
146	4970
147	9899
148	1119
149	5954
150	1259
151	5621
152	6889
153	3392
154	8425
155	9273
156	7013
157	6300
158	5808
159	2417
160	9326
161	247
162	7892
163	9259
164	6691
165	5002
166	9757
167	2680
168	1404
169	1255
170	5866
171	5326
172	7352
173	4827
174	186
175	7739
176	3828
177	7988
178	2015
179	6729
180	8742
181	2171
182	9287
183	4540
184	1385
185	4637
186	8726
187	3631
188	3381
189	8136
190	3132
191	3328
192	9666
193	3011
194	6188
195	4391
196	1392
197	8780
198	7282
199	2596
200	3413
201	875
202	9535
203	9025
204	5145
