b1_g1_mean	b1_g2_mean	b2_g1_mean	b2_g2_mean	b1_mean	b2_mean	g1_mean	g2_mean	b1_groups_fc	b2_groups_fc	batch_fc	group_fc	b1_dispersion	b2_dispersion
gene_1680	5.73249863175545	5.72594012459922	6.70841336816067	6.80822605922067	5.72921937817733	6.75831971369067	6.22045599995806	6.26708309190995	-0.00655850715622641	0.0998126910600039	1.02910033551333	0.0466270919518887	1.06212963659368	0.882439545737384
gene_108934	5.93160410147203	5.8289997823304	7.70770085399779	7.61417176054067	5.88030194190122	7.66093630726923	6.81965247773491	6.72158577143554	-0.102604319141622	-0.0935290934571169	1.78063436536802	-0.0980667062993694	1.0417240422767	0.63014177141736
gene_12539	6.5653133592385	6.35388645917698	7.9077275307234	7.66421091943569	6.45959990920774	7.78596922507955	7.23652044498095	7.00904868930634	-0.211426900061522	-0.243516611287712	1.3263693158718	-0.227471755674616	0.945072534955481	0.588519037424217
gene_70489	6.61161540628304	6.65209099229686	7.65328239558502	7.84310240051265	6.63185319928995	7.74819239804884	7.13244890093403	7.24759669640476	0.0404755860138248	0.189820004927632	1.11633919875889	0.115147795470729	0.91011232180492	0.601180000399416
gene_100074	6.80064564914403	6.6959777230418	8.08699445605921	7.90213109566869	6.74831168609291	7.99456277586394	7.44382005260162	7.29905440935524	-0.104667926102234	-0.18486336039052	1.24625108977103	-0.144765643246377	0.884695756022237	0.517533965049024
gene_9672	6.72481683374337	6.76697342886249	8.01685062941307	8.00319273890596	6.74589513130293	8.01002168415951	7.37083373157822	7.38508308388422	0.0421565951191205	-0.0136578905071172	1.26412655285658	0.0142493523060017	0.885238819857428	0.512213031341108
gene_82230	6.81006063032984	6.76734525286025	7.93485989027512	8.1290288335362	6.78870294159505	8.03194436190566	7.37246026030248	7.44818704319823	-0.0427153774695874	0.194168943261085	1.24324142031061	0.0757267828957495	0.875519231516591	0.504655328985325
gene_5339	6.89337159435604	7.00613197569681	5.32713129808935	5.51220772586179	6.94975178502643	5.41966951197557	6.1102514462227	6.2591698507793	0.112760381340768	0.185076427772439	-1.53008227305086	0.148918404556603	0.837035761727535	1.09859260468053
gene_82301	6.81497708463488	6.89054726357352	8.65864748631708	8.68107768110311	6.8527621741042	8.66986258371009	7.73681228547598	7.78581247233831	0.0755701789386336	0.0224301947860326	1.81710040960589	0.0490001868623322	0.86057729779571	0.303734928684772
gene_100306	6.78312781236349	6.82856570689442	5.87141761598363	5.73698109123611	6.80584675962896	5.80419935360987	6.32727271417356	6.28277339906526	0.0454378945309353	-0.134436524747525	-1.00164740601909	-0.0444993151082951	0.87156726921283	1.05222960170017
gene_46051	7.07587540499766	7.07478899889057	8.81136970863345	8.89978566969399	7.07533220194412	8.85557768916372	7.94362255681556	7.98728733429228	-0.00108640610709809	0.0884159610605408	1.7802454872196	0.0436647774767209	0.804886379872397	0.263888925206932
gene_91237	7.10594210268288	7.11943534989237	8.49991788233178	8.51367259761809	7.11268872628762	8.50679523997493	7.80292999250733	7.81655397375523	0.0134932472094853	0.0137547152863089	1.39410651368731	0.0136239812478962	0.794956142496506	0.344763051634169
gene_49043	6.90525642446083	7.02568989983814	8.88494370633957	9.03778905586431	6.96547316214948	8.96136638110194	7.8951000654002	8.03173947785122	0.120433475377306	0.152845349524737	1.99589321895246	0.136639412451022	0.833114581634916	0.241846020709232
gene_42750	7.20106641065653	7.01223574498511	8.91920883604389	8.88989459615362	7.10665107782082	8.90455171609876	8.06013762335021	7.95106517056936	-0.188830665671428	-0.0293142398902653	1.79790063827794	-0.109072452780847	0.796572524755789	0.253068644076054
gene_12188	7.2820074361859	7.18170206965805	9.1449651229834	9.00638541067613	7.23185475292198	9.07567526682977	8.21348627958465	8.09404374016709	-0.100305366527841	-0.138579712307273	1.84382051390779	-0.119442539417557	0.762150225660279	0.228134313586293
gene_57873	7.32397784651887	7.31331978481309	9.39979040991075	9.19769024425818	7.31864881566598	9.29874032708447	8.36188412821481	8.25550501453563	-0.0106580617057777	-0.202100165652569	1.98009151141849	-0.106379113679173	0.737176260176158	0.224542422402691
gene_51452	7.15331084129871	7.20489942881253	9.14781435963524	9.03116005773754	7.17910513505562	9.08948720868639	8.15056260046698	8.11802974327504	0.0515885875138169	-0.1166543018977	1.91038207363077	-0.0325328571919421	0.77688404631271	0.227197550474367
gene_54210	7.15621625688235	7.23307828301138	9.23689267090151	9.06494999416855	7.19464726994687	9.15092133253503	8.19655446389193	8.14901413858997	0.0768620261290343	-0.171942676732957	1.95627406258816	-0.0475403253019611	0.772577865019171	0.224581790554637
gene_36353	7.17705051053762	7.19930875408721	8.79171331763446	8.80049051521048	7.18817963231241	8.79610191642247	7.98438191408604	7.99989963464884	0.0222582435495911	0.00877719757602158	1.60792228411005	0.0155177205628068	0.774373373542918	0.276487271246518
gene_111576	7.39876951391192	7.29646547340364	9.24011162889734	9.36673446790963	7.34761749365778	9.30342304840348	8.31944057140463	8.33159997065664	-0.102304040508274	0.126622839012292	1.9558055547457	0.0121593992520079	0.72863953830766	0.224566295033284
gene_22963	7.37082267073711	7.34237793707756	9.16320009552452	9.40045742534514	7.35660030390734	9.28182876043483	8.26701138313081	8.37141768121135	-0.0284447336595441	0.237257329820626	1.92522845652749	0.104406298080541	0.725972061310459	0.224423382557332
gene_16408	7.24000764725501	7.19738991135757	8.26898537712787	8.27807271756623	7.21869877930629	8.27352904734705	7.75449651219144	7.7377313144619	-0.0426177358974433	0.00908734043835935	1.05483026804076	-0.0167651977295415	0.765856407795902	0.420526543335906
gene_87508	7.43316671575965	7.35443273882572	8.96330449706088	9.12127758102071	7.39379972729269	9.0422910390408	8.19823560641027	8.23785515992322	-0.0787339769339299	0.157973083959828	1.64849131174811	0.0396195535129493	0.714823466214125	0.23099926927423
