b1_g1_mean	b1_g2_mean	b2_g1_mean	b2_g2_mean	b1_mean	b2_mean	g1_mean	g2_mean	b1_groups_fc	b2_groups_fc	batch_fc	group_fc
gene_1680	5.73249863175545	5.72594012459922	6.70841336816067	6.80822605922067	5.72921937817733	6.75831971369067	6.22045599995806	6.26708309190995	-0.00655850715622641	0.0998126910600039	1.02910033551333	0.0466270919518887
gene_108934	5.93160410147203	7.27364095713517	7.70770085399779	10.1051064633261	6.6026225293036	8.90640365866192	6.81965247773491	8.68937371023061	1.34203685566315	2.39740560932827	2.30378112935832	1.86972123249571
gene_12539	6.5653133592385	6.35388645917698	7.9077275307234	7.66421091943569	6.45959990920774	7.78596922507955	7.23652044498095	7.00904868930634	-0.211426900061522	-0.243516611287712	1.3263693158718	-0.227471755674616
gene_70489	6.61161540628304	6.65209099229686	7.65328239558502	7.84310240051265	6.63185319928995	7.74819239804884	7.13244890093403	7.24759669640476	0.0404755860138248	0.189820004927632	1.11633919875889	0.115147795470729
gene_100074	8.14686684918595	6.6959777230418	10.206621928926	7.90213109566869	7.42142228611387	9.05437651229736	9.17674438905599	7.29905440935524	-1.45088912614415	-2.30449083325734	1.63295422618349	-1.87768997970075
gene_9672	8.06573036344032	6.76697342886249	10.2430971682382	8.00319273890596	7.41635189615141	9.12314495357209	9.15441376583928	7.38508308388422	-1.29875693457783	-2.23990442933228	1.70679305742069	-1.76933068195505
gene_82230	8.345854051424	6.76734525286025	10.1756360588704	8.1290288335362	7.55659965214212	9.15233244620328	9.26074505514717	7.44818704319823	-1.57850879856374	-2.04660722533415	1.59573279406115	-1.81255801194895
gene_5339	6.89337159435604	7.00613197569681	5.32713129808935	5.51220772586179	6.94975178502643	5.41966951197557	6.1102514462227	6.2591698507793	0.112760381340768	0.185076427772439	-1.53008227305086	0.148918404556603
gene_82301	6.81497708463488	6.89054726357352	8.65864748631708	8.68107768110311	6.8527621741042	8.66986258371009	7.73681228547598	7.78581247233831	0.0755701789386336	0.0224301947860326	1.81710040960589	0.0490001868623322
gene_100306	6.78312781236349	6.82856570689442	5.87141761598363	5.73698109123611	6.80584675962896	5.80419935360987	6.32727271417356	6.28277339906526	0.0454378945309353	-0.134436524747525	-1.00164740601909	-0.0444993151082951
gene_46051	7.07587540499766	8.46110992361414	8.81136970863345	10.8518245479713	7.7684926643059	9.83159712830236	7.94362255681556	9.6564672357927	1.38523451861648	2.04045483933781	2.06310446399645	1.71284467897714
gene_91237	7.10594210268288	7.11943534989237	8.49991788233178	8.51367259761809	7.11268872628762	8.50679523997493	7.80292999250733	7.81655397375523	0.0134932472094853	0.0137547152863089	1.39410651368731	0.0136239812478962
gene_49043	6.90525642446083	8.4623041812183	8.88494370633957	10.8279480687721	7.68378030283956	9.85644588755582	7.8951000654002	9.64512612499518	1.55704775675747	1.94300436243249	2.17266558471626	1.75002605959498
gene_42750	7.20106641065653	8.42801672231067	8.91920883604389	10.6441233038583	7.8145415664836	9.78166606995109	8.06013762335021	9.53607001308449	1.22695031165414	1.72491446781441	1.96712450346749	1.47593238973428
gene_12188	7.2820074361859	8.69697661655933	9.1449651229834	10.8334079350894	7.98949202637261	9.98918652903638	8.21348627958465	9.76519227582434	1.41496918037343	1.68844281210595	1.99969450266377	1.55170599623969
gene_57873	7.32397784651887	7.31331978481309	9.39979040991075	9.19769024425818	7.31864881566598	9.29874032708447	8.36188412821481	8.25550501453563	-0.0106580617057777	-0.202100165652569	1.98009151141849	-0.106379113679173
gene_51452	7.15331084129871	7.20489942881253	9.14781435963524	9.03116005773754	7.17910513505562	9.08948720868639	8.15056260046698	8.11802974327504	0.0515885875138169	-0.1166543018977	1.91038207363077	-0.0325328571919421
gene_54210	7.15621625688235	7.23307828301138	9.23689267090151	9.06494999416855	7.19464726994687	9.15092133253503	8.19655446389193	8.14901413858997	0.0768620261290343	-0.171942676732957	1.95627406258816	-0.0475403253019611
gene_36353	7.17705051053762	8.57509076395817	8.79171331763446	10.6039738270278	7.87607063724789	9.69784357233114	7.98438191408604	9.58953229549299	1.39804025342055	1.81226050939337	1.82177293508325	1.60515038140696
gene_111576	7.39876951391192	7.29646547340364	9.24011162889734	9.36673446790963	7.34761749365778	9.30342304840348	8.31944057140463	8.33159997065664	-0.102304040508274	0.126622839012292	1.9558055547457	0.0121593992520079
gene_22963	7.37082267073711	7.34237793707756	9.16320009552452	9.40045742534514	7.35660030390734	9.28182876043483	8.26701138313081	8.37141768121135	-0.0284447336595441	0.237257329820626	1.92522845652749	0.104406298080541
gene_16408	7.24000764725501	7.19738991135757	8.26898537712787	8.27807271756623	7.21869877930629	8.27352904734705	7.75449651219144	7.7377313144619	-0.0426177358974433	0.00908734043835935	1.05483026804076	-0.0167651977295415
gene_87508	7.43316671575965	7.35443273882572	8.96330449706088	9.12127758102071	7.39379972729269	9.0422910390408	8.19823560641027	8.23785515992322	-0.0787339769339299	0.157973083959828	1.64849131174811	0.0396195535129493
gene_10114	7.39883304561563	8.78078087993689	9.3056587594822	10.9724563192875	8.08980696277626	10.1390575393849	8.35224590254891	9.8766185996122	1.38194783432126	1.66679755980532	2.0492505766086	1.52437269706329
gene_54578	7.40001058213735	7.47946070627335	9.3038259669407	9.13227872439592	7.43973564420535	9.21805234566831	8.35191827453903	8.30586971533464	0.0794501241360033	-0.171547242544779	1.77831670146297	-0.0460485592043884
gene_56583	7.51307718572129	8.81950919659825	9.10149201657845	10.8575219706427	8.16629319115977	9.97950699361059	8.30728460114987	9.83851558362049	1.30643201087697	1.75602995406428	1.81321380245082	1.53123098247062
gene_54509	7.44321148598906	8.86294162535833	9.40978113562475	10.980954671815	8.1530765556737	10.1953679037199	8.42649631080691	9.92194814858666	1.41973013936927	1.57117353619024	2.04229134804617	1.49545183777976
gene_104285	7.44099685084491	7.54095112107825	8.69470854045401	8.91738927011328	7.49097398596158	8.80604890528364	8.06785269564946	8.22917019559576	0.0999542702333454	0.222680729659265	1.31507491932206	0.161317499946305
