b1_g1_mean	b1_g2_mean	b2_g1_mean	b2_g2_mean	b1_mean	b2_mean	g1_mean	g2_mean	b1_groups_fc	b2_groups_fc	batch_fc	group_fc	b1_dispersion	b2_dispersion
gene_67066	5.80622274108257	5.79572812429599	7.44908965835595	7.39519283564494	5.80097543268928	7.42214124700045	6.62765619971926	6.59546047997047	-0.0104946167865725	-0.0538968227110095	1.62116581431117	-0.032195719748791	1.0526643662399	0.706219741954364
gene_93111	6.3195837002041	6.27721124979467	7.19543309588653	7.41176717008958	6.29839747499939	7.30360013298806	6.75750839804532	6.84448920994213	-0.0423724504094309	0.216334074203044	1.00520265798867	0.0869808118968072	0.975107950516618	0.741571276381594
gene_42450	6.13896582038764	6.15542643332687	7.13819748348244	7.3726309847206	6.14719612685726	7.25541423410152	6.63858165193504	6.76402870902374	0.0164606129392322	0.234433501238168	1.10821810724426	0.1254470570887	1.00101525707586	0.755461010088289
gene_119570	5.50453989292836	5.74064104321886	6.77124763806022	6.66725353512961	5.62259046807361	6.71925058659492	6.13789376549429	6.20394728917424	0.236101150290501	-0.103994102930608	1.09666011852131	0.0660535236799467	1.07546796393227	0.891182222040109
gene_45190	6.6327308609128	6.65316324590179	7.70892869977461	7.95057726971842	6.64294705340729	7.82975298474651	7.1708297803437	7.3018702578101	0.0204323849889887	0.241648569943809	1.18680593133922	0.131040477466398	0.907756917012413	0.573761680484915
gene_87555	6.49906284366567	6.52717107977413	7.8748443337525	7.77831880398731	6.5131169617199	7.8265815688699	7.18695358870908	7.15274494188072	0.0281082361084586	-0.0965255297651826	1.31346460715001	-0.0342086468283611	0.934532361709852	0.574833456547816
gene_103701	5.46507077436337	5.59279171711338	7.05264856511918	6.81948855729763	5.52893124573838	6.93606856120841	6.25885966974128	6.20614013720551	0.127720942750011	-0.233160007821549	1.40713731547003	-0.052719532535769	1.08649722994952	0.840424592317215
gene_60276	6.89926424477287	6.82576059455149	8.72380873669451	8.73830463566316	6.86251241966218	8.73105668617884	7.81153649073369	7.78203261510733	-0.0735036502213751	0.0144958989686543	1.86854426651665	-0.0295038756263599	0.858260942223742	0.290255269711428
gene_40992	6.87517902357625	6.90084813312281	8.8350437786479	8.62875542157178	6.88801357834953	8.73189960010984	7.85511140111207	7.7648017773473	0.0256691095465564	-0.206288357076113	1.84388602176031	-0.0903096237647789	0.852149744333362	0.290074244712581
gene_115324	6.83948515672918	6.96934918230957	6.00845687934059	5.7946742964016	6.90441716951938	5.9015655878711	6.42397101803489	6.38201173935559	0.129864025580389	-0.213782582938985	-1.00285158164828	-0.0419592786792986	0.848178138168245	1.03870424819763
gene_42303	6.76576434247346	6.89759483710995	8.11166565271054	7.922216688483	6.83167958979171	8.01694117059677	7.438714997592	7.40990576279648	0.131830494636498	-0.189448964227542	1.18526158080506	-0.0288092347955224	0.865547736332945	0.509829075397572
gene_94373	7.00303757437966	6.89656593852748	8.05752958390052	7.98676684497088	6.94980175645357	8.0221482144357	7.53028357914009	7.44166639174918	-0.106471635852182	-0.0707627389296368	1.07234645798212	-0.0886171873909092	0.837023344740637	0.508034190440233
gene_102909	6.79709874574402	6.73419863713519	7.9478433429427	7.71627516432488	6.7656486914396	7.83205925363379	7.37247104434336	7.22523690073003	-0.0629001086088232	-0.231568178617821	1.06641056219418	-0.147234143613323	0.880779991680821	0.572982009136398
gene_3409	6.85931753650996	6.95868999393817	8.44730795657299	8.50054679535093	6.90900376522406	8.47392737596196	7.65331274654147	7.72961839464455	0.0993724574282133	0.0532388387779434	1.5649236107379	0.0763056481030793	0.847061941154389	0.35418815371986
gene_43931	7.22412847840593	7.11117928989872	9.14252910469923	9.0565111107969	7.16765388415233	9.09952010774807	8.18332879155258	8.08384520034781	-0.112949188507202	-0.086017993902324	1.93186622359574	-0.0994835912047627	0.780038073698406	0.22660296097421
gene_59508	6.97849100823764	7.13347145956509	8.47774522371889	8.64210840809874	7.05598123390137	8.55992681590882	7.72811811597827	7.88778993383192	0.154980451327454	0.164363184379848	1.50394558200745	0.159671817853651	0.809964022214239	0.330403521017271
gene_53676	7.25108990794102	7.1702686477385	8.86616197246898	9.06971296683316	7.21067927783976	8.96793746965107	8.058625940205	8.11999080728583	-0.0808212602025229	0.203550994364182	1.7572581918113	0.0613648670808313	0.768105322525604	0.240745666874722
gene_46341	7.18303510724633	7.01341570879342	6.04096821233309	6.01638091343679	7.09822540801987	6.02867456288494	6.61200165978971	6.5148983111151	-0.169619398452912	-0.0245872988963045	-1.06955084513493	-0.097103348674608	0.798820849977473	1.01985843047529
gene_103375	7.2196833372721	7.2199085301499	9.13382232139973	9.15210322944214	7.219795933711	9.14296277542094	8.17675282933592	8.18600587979602	0.000225192877801206	0.0182809080424047	1.92316684170993	0.00925305046010294	0.765548127125407	0.224791730994154
gene_113348	7.2951413263156	7.27160144786723	9.19003791032919	9.25980358976033	7.28337138709142	9.22492075004476	8.24258961832239	8.26570251881378	-0.0235398784483642	0.0697656794311445	1.94154936295334	0.0231129004913893	0.74743630653761	0.223984174142411
gene_55422	7.03384659869568	7.11934351081224	8.82024992230678	9.00975599964932	7.07659505475396	8.91500296097805	7.92704826050123	8.06454975523078	0.0854969121165627	0.189506077342536	1.83840790622409	0.137501494729549	0.804553438975076	0.250770897540839
gene_10452	7.35213716959515	7.30989078218668	9.1987587058368	9.17441569969591	7.33101397589091	9.18658720276636	8.27544793771598	8.24215324094129	-0.042246387408472	-0.0243430061408976	1.85557322687544	-0.0332946967746839	0.733544668324811	0.224027784537121
gene_32271	7.41721496326282	7.28023822403738	8.94826780277782	8.90784574310173	7.3487265936501	8.92805677293978	8.18274138302032	8.09404198356956	-0.136976739225446	-0.040422059676084	1.57933017928967	-0.0886993994507641	0.728310707606106	0.248049903985382
gene_11256	7.39340215152682	7.35513001177576	9.31204218455041	9.38963317093082	7.37426608165129	9.35083767774062	8.35272216803862	8.37238159135329	-0.0382721397510561	0.0775909863804056	1.97657159608932	0.0196594233146747	0.720698134291167	0.224387218249213
gene_67685	7.36533025281501	7.28683124476543	8.78607685679198	8.92913734097029	7.32608074879022	8.85760709888114	8.0757035548035	8.10798429286786	-0.0784990080495849	0.143060484178308	1.53152635009092	0.0322807380643599	0.734995728945317	0.263451664448133
gene_70863	7.38369551112547	7.37420239613296	9.20866947667293	9.18292155038193	7.37894895362921	9.19579551352743	8.2961824938992	8.27856197325744	-0.00949311499250882	-0.0257479262910021	1.81684655989821	-0.0176205206417546	0.719293898365701	0.223973580726526
gene_97928	7.4828104403988	7.50947070970804	8.77008535932023	8.58668341376329	7.49614057505342	8.67838438654176	8.12644789985951	8.04807706173566	0.0266602693092324	-0.18340194555693	1.18224381148834	-0.078370838123849	0.68331295172314	0.301811156908061
gene_43352	7.44183520972159	7.42124888157966	9.4261207295279	9.28496173735263	7.43154204565062	9.35554123344027	8.43397796962474	8.35310530946615	-0.0205863281419267	-0.141158992175265	1.92399918778965	-0.0808726601585956	0.703345054697995	0.22431024358865
gene_44251	7.5289142859616	7.57226980766161	9.25199947624654	9.26407256414707	7.5505920468116	9.25803602019681	8.39045688110407	8.41817118590434	0.0433555217000174	0.0120730879005357	1.7074439733852	0.0277143048002753	0.666055130756076	0.224215551593195
gene_41080	7.41349227355333	7.43917448779379	8.72896066691135	8.84539549235034	7.42633338067356	8.78717807963085	8.07122647023234	8.14228499007207	0.0256822142404589	0.116434825438995	1.36084469895729	0.0710585198397276	0.704939101891222	0.278362259388902
gene_79269	7.41826419751865	7.5405803108651	8.70373996538528	8.93980518981523	7.47942225419188	8.82177257760025	8.06100208145197	8.24019275034017	0.122316113346451	0.236065224429943	1.34235032340838	0.179190668888197	0.688543681625633	0.271085367678211
gene_7393	7.50855212117176	7.51654393985387	8.98883910241542	9.2028052924343	7.51254803051282	9.09582219742486	8.24869561179359	8.35967461614409	0.00799181868210486	0.213966190018878	1.58327416691204	0.110979004350492	0.678148290612394	0.226813904403964
gene_90443	7.56533018400618	7.54467401116383	9.29901426594394	9.43533827356776	7.555002097585	9.36717626975585	8.43217222497506	8.49000614236579	-0.02065617284235	0.136324007623823	1.81217417217085	0.0578339173907363	0.664642728096696	0.224057700616021
